,Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for,ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued,Not issued rate for ATVs,Uniform visas applied for,Total  uniform visas issued (including MEV),Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs),Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas
1264,Netherlands,UKRAINE,KYIV,7,5,2,2,28.6%,1682501,1688658,24643,83.0%,7,408,17.2%,"2,375","1,949",410,17.3%,0.0
956,Italy,IRELAND,DUBLIN,0,0,0,0,0,1271990,1276601,18782,60.1%,18,45,3.6%,"1,263","1,218",45,3.6%,0.0
489,France,PAKISTAN,KARACHI,0,0,0,0,0,649559,651827,9896,0,0,0,0,2,2,0,0,0.0
663,Germany,SAUDI ARABIA,JEDDAH,0,0,0,0,0,881471,884612,13207,100.0%,2,59,0.4%,"16,107","16,048",59,0.4%,0.0
612,Germany,JAPAN,OSAKA,0,0,0,0,0,813497,816382,12236,62.5%,2,15,1.8%,828,813,15,1.8%,0.0
1330,Norway,TURKEY,ANKARA,0,0,0,0,0,1770468,1776956,25899,39.5%,14,765,39.8%,"1,923","1,158",765,39.8%,0.0
448,France,IRAQ,BAGHDAD,4,3,0,0,0,594913,596975,9115,19.9%,97,2179,35.5%,"6,141","3,916","2,179",35.5%,0.0
958,Italy,ISRAEL,TEL AVIV,0,0,0,0,0,1274656,1279277,18820,42.1%,1,32,4.6%,696,664,32,4.6%,0.0
684,Germany,TURKEY,ANKARA,43,39,38,4,9.3%,909461,912707,13606,95.4%,29,11809,16.3%,"72,32","60,507","11,813",16.3%,0.0
1386,Poland,KENYA,NAIROBI,0,0,0,0,0,1845106,1851875,26964,8.1%,18,172,27.7%,620,448,172,27.7%,0.0
279,Denmark,SOUTH AFRICA,PRETORIA,0,0,0,0,0,369665,370879,5900,71.8%,3,33,0.9%,"3,579","3,531",33,0.9%,0.0
843,Hungary,MEXICO,MEXICO CITY,0,0,0,0,0,1121380,1125424,16632,40.0%,0,1,16.7%,6,5,1,16.7%,0.0
291,Estonia,AUSTRALIA,CANBERRA,0,0,0,0,0,385659,386933,6128,42.1%,0,1,2.6%,39,38,1,2.6%,0.0
288,Denmark,UNITED KINGDOM,LONDON,1,1,0,0,0,381661,382920,6071,81.4%,3,25,0.4%,"6,9","6,798",25,0.4%,0.0
1859,Switzerland,LEBANON,BEIRUT,0,0,0,0,0,2475534,2484676,35965,52.5%,311,453,11.3%,"3,992","3,539",453,11.3%,0.0
335,Finland,KENYA,NAIROBI,0,0,0,0,0,444304,445799,6965,15.0%,12,139,18.5%,753,605,139,18.5%,0.0
38,Austria,PHILIPPINES,MANILA,0,0,0,0,0,48453,48458,1314,100.0%,0,377,8.2%,"4,601","4,224",377,8.2%,0.0
1607,Spain,BELGIUM,BRUSSELS,0,0,0,0,0,2139661,2147539,31170,0,1,0,0,17,17,0,0,0.0
1866,Switzerland,NIGERIA,ABUJA,0,0,0,0,0,2484864,2494041,36098,46.6%,161,710,20.8%,"3,408","2,698",710,20.8%,0.0
1435,Poland,UZBEKISTAN,TASHKENT,0,0,0,0,0,1910415,1917429,27897,30.0%,39,376,15.4%,"2,445","2,069",376,15.4%,0.0
1485,Portugal,NIGERIA,ABUJA,0,0,0,0,0,1977056,1984322,28848,4.6%,124,"4,492",75.6%,"5,939","1,447","4,492",75.6%,0.0
589,Germany,ETHIOPIA,ADDIS ABEBA,9,9,7,0,0,782842,785612,11798,20.3%,20,1090,25.6%,"4,274","3,184","1,09",25.5%,0.0
1480,Portugal,MEXICO,MEXICO CITY,0,0,0,0,0,1970392,1977632,28753,100.0%,0,3,6.3%,48,45,3,6.3%,0.0
1278,Netherlands,VIETNAM,HO CHI MINH,3,0,0,0,0,1701161,1707388,24909,42.5%,8,859,18.1%,"4,738","3,71",859,18.1%,0.0
1875,Switzerland,SENEGAL,DAKAR,0,0,0,0,0,2496860,2506082,36269,55.6%,22,262,17.2%,"1,525","1,263",262,17.2%,0.0
190,Czech Republic,MALAYSIA,KUALA LUMPUR,0,0,0,0,0,251043,251811,4206,18.4%,1,189,43.4%,435,245,189,43.4%,0.0
1878,Switzerland,SOUTH AFRICA,CAPE TOWN,0,0,0,0,0,2500858,2510095,36326,66.7%,0,22,1.8%,"1,217","1,195",22,1.8%,0.0
606,Germany,IRAQ,BAGHDAD,1,1,1,0,0,805500,808355,12122,56.0%,13,962,20.6%,"4,661","3,699",962,20.6%,0.0
1254,Netherlands,SWEDEN,STOCKHOLM,1,1,0,0,0,1669173,1675279,24452,85.0%,2,1,3.8%,27,23,1,3.7%,0.0
256,Denmark,IRELAND,DUBLIN,0,0,0,0,0,339010,340109,5462,22.8%,0,1,0.1%,848,820,1,0.1%,0.0
1615,Spain,BRAZIL,SAO PAULO,3,3,0,0,0,2150324,2158242,31322,15.9%,0,50,15.5%,326,273,50,15.3%,0.0
1064,Latvia,UNITED KINGDOM,LONDON,0,0,0,0,0,1415936,1421088,20837,75.9%,8,20,5.2%,387,361,20,5.2%,0.0
1414,Poland,SWITZERLAND,BERN,1,1,0,0,0,1882426,1889335,27497,100.0%,1,0,0,6,6,0,0,0.0
911,Italy,BRAZIL,RIO DE JANEIRO,3,3,0,0,0,1212013,1216398,17926,37.7%,0,20,27.4%,76,56,20,26.3%,0.0
398,France,CAMEROON,YAONDE,14,7,0,6,42.9%,528272,530083,8164,17.7%,0,3133,24.9%,"12,59","9,219","3,139",24.9%,0.0
198,Czech Republic,PAKISTAN,ISLAMABAD,0,0,0,0,0,261706,262514,4358,10.9%,3,407,61.9%,658,251,407,61.9%,0.0
1024,Italy,UNITED ARAB EMIRATES,ABU DHABI,0,0,0,0,0,1362622,1367575,20076,42.4%,1,"1,13",18.7%,"6,041","4,911","1,13",18.7%,0.0
1532,Slovakia,CZECH REPUBLIC,PRAGUE,0,0,0,0,0,2039699,2047200,29742,0,0,0,0,1,1,0,0,0.0
1283,Norway,ARGENTINA,BUENOS AIRES,0,0,0,0,0,1707825,1714077,25004,25.0%,0,0,0,4,4,0,0,0.0
1248,Netherlands,SOUTH AFRICA,JOHANNESBURG,0,0,0,0,0,1661176,1667252,24338,100.0%,0,102,1.9%,"5,243","5,11",102,1.9%,0.0
725,Greece,BULGARIA,SOFIA,0,0,0,0,0,964107,967559,14386,86.8%,26,32,2.9%,"1,103","1,071",32,2.9%,0.0
1686,Spain,MEXICO,MEXICO CITY,4,3,0,0,0,2244955,2253229,32673,5.6%,0,35,10.5%,336,288,35,10.4%,0.0
1074,Lithuania,EGYPT,CAIRO,0,0,0,0,0,1429264,1434467,21027,33.7%,6,169,28.1%,602,421,169,28.1%,0.0
520,France,TUNISIA,TUNIS,0,0,0,0,0,690877,693300,10485,34.8%,47,26604,15.9%,"166,93","135,864","26,604",15.9%,0.0
1258,Netherlands,TRINIDAD AND TOBAGO,PORT OF SPAIN,14,9,6,0,0,1674504,1680631,24529,93.2%,0,16,21.1%,90,68,16,17.8%,0.0
831,Hungary,IRAQ,ERBIL,0,0,0,0,0,1105387,1109370,16403,27.0%,14,465,43.1%,"1,08",615,465,43.1%,0.0
1242,Netherlands,SERBIA,BELGRADE,0,0,0,0,0,1653179,1659225,24224,93.1%,0,13,18.3%,71,58,13,18.3%,0.0
1646,Spain,FRANCE,LYON,0,0,0,0,0,2191642,2199715,31912,0,0,0,0,0,1,0,0,0.0
53,Austria,TURKEY,ISTANBUL,0,0,0,0,0,68446,68526,1599,73.8%,7,2382,18.0%,"13,202","10,82","2,382",18.0%,0.0
859,Hungary,SAUDI ARABIA,RIYADH,0,0,0,0,0,1142706,1146830,16936,86.2%,3,278,15.3%,"1,821","1,543",278,15.3%,0.0
146,Belgium,VIETNAM,HANOI,0,0,0,0,0,192399,192946,3369,56.1%,17,190,9.5%,"2,006","1,772",190,9.5%,0.0
317,Finland,CHINA,BEIJING,0,0,0,0,0,420313,421717,6623,4.5%,31,1293,5.2%,"24,653","23,238","1,293",5.2%,0.0
59,Austria,USA,"WASHINGTON, DC",0,0,0,0,0,76443,76553,1713,100.0%,2,12,2.5%,474,462,12,2.5%,0.0
1282,Norway,ANGOLA,LUANDA,0,0,0,0,0,1706492,1712739,24985,22.8%,1,62,32.6%,190,128,62,32.6%,0.0
613,Germany,JAPAN,TOKYO,0,0,0,0,0,814830,817720,12255,99.8%,2,0,0,"1,816","1,816",0,0,0.0
376,France,ARGENTINA,BUENOS AIRES,0,0,0,0,0,498950,500650,7745,30.9%,0,6,3.7%,161,152,6,3.7%,0.0
330,Finland,IRAN,TEHERAN,0,0,0,0,0,437639,439109,6870,12.0%,19,741,25.5%,"2,909","2,126",741,25.5%,0.0
622,Germany,LATVIA,RIGA,0,0,0,0,0,826825,829760,12426,100.0%,0,0,0,3,3,0,0,0.0
1389,Poland,LEBANON,BEIRUT,0,0,0,0,0,1849105,1855888,27021,28.1%,29,73,5.7%,"1,271","1,198",73,5.7%,0.0
972,Italy,MOLDOVA,CHISINAU,0,0,0,0,0,1293315,1298007,19086,81.9%,0,26,9.8%,264,238,26,9.8%,0.0
786,Greece,TUNISIA,TUNIS,0,0,0,0,0,1045409,1049167,15547,34.4%,16,326,19.3%,"1,685","1,359",326,19.3%,0.0
378,France,AUSTRALIA,CANBERRA,0,0,0,0,0,501615,503326,7783,0,0,0,0,2,2,0,0,0.0
863,Hungary,SLOVAKIA,BRATISLAVA,0,0,0,0,0,1148037,1152181,17012,0,0,1,100.0%,1,0,1,100.0%,0.0
735,Greece,CROATIA,ZAGREB,0,0,0,0,0,977435,980937,14577,107.7%,3,0,0,16,16,0,0,0.0
601,Germany,INDIA,KOLKATA,33,31,31,2,6.1%,798836,801666,12027,100.0%,0,432,5.8%,"7,53","7,096",434,5.8%,0.0
1036,Italy,USA,"PHILADELPHIA, PA",0,0,0,0,0,1378616,1383629,20304,100.0%,1,10,0.7%,"1,468","1,458",10,0.7%,0.0
1557,Slovakia,TURKEY,ANKARA,0,0,0,0,0,2073020,2080647,30218,64.4%,0,31,9.3%,334,303,31,9.3%,0.0
423,France,DJIBOUTI,DJIBOUTI,0,0,0,0,0,561592,563529,8640,28.7%,0,895,27.6%,"3,241","2,268",895,27.6%,0.0
1599,Spain,ARGENTINA,CORDOBA,0,0,0,0,0,2128999,2136836,31017,0,0,0,0,35,35,0,0,0.0
712,Greece,ALGERIA,ALGIERS,0,0,0,0,0,946780,950167,14139,15.8%,0,1674,62.2%,"2,692","1,018","1,674",62.2%,0.0
1851,Switzerland,ITALY,MILAN,0,0,0,0,0,2464872,2473973,35812,25.0%,2,0,0,6,6,0,0,0.0
585,Germany,DOMINICAN REPUBLIC,SANTO DOMINGO,4,4,3,0,0,777511,780260,11722,53.5%,2,824,24.2%,"3,414","2,59",824,24.1%,0.0
1574,Slovenia,CROATIA,ZAGREB,0,0,0,0,0,2095678,2103390,30542,95.9%,63,5,1.5%,336,331,5,1.5%,0.0
390,France,BRAZIL,RIO DE JANEIRO,3,3,0,0,0,517609,519380,8012,8.1%,0,14,6.4%,222,200,14,6.3%,0.0
265,Denmark,MEXICO,MEXICO CITY,0,0,0,0,0,351006,352149,5633,66.7%,0,0,0,46,45,0,0,0.0
1611,Spain,BRAZIL,BRASILIA,2,2,0,0,0,2144993,2152890,31246,4.8%,0,0,0,50,44,0,0,0.0
342,Finland,NAMIBIA,WINDHOEK,0,0,0,0,0,453633,455164,7098,58.5%,0,25,3.2%,778,749,25,3.2%,0.0
660,Germany,RUSSIAN FEDERATION,ST. PETERSBURG,1,0,0,1,100.0%,877473,880599,13149,81.8%,35,176,0.9%,"19,168","18,991",177,0.9%,0.0
220,Czech Republic,UKRAINE,KYIV,0,0,0,0,0,291028,291946,4777,3.8%,0,2801,5.3%,"53,212","50,409","2,801",5.3%,0.0
1799,Sweden,SPAIN,MADRID,0,0,0,0,0,2395565,2404405,34823,0,0,0,0,48,0,0,0,0.0
579,Germany,COTE D'IVOIRE,ABIDJAN,0,0,0,0,0,769514,772233,11608,68.9%,1,846,34.2%,"2,474","1,628",846,34.2%,0.0
781,Greece,SOUTH AFRICA,JOHANNESBURG,0,0,0,0,0,1038745,1042478,15452,49.7%,1,300,4.0%,"7,561","7,261",300,4.0%,0.0
1729,Spain,TANZANIA,DAR ES SALAAM,0,0,0,0,0,2302267,2310756,33491,5.0%,3,142,16.0%,889,707,142,16.0%,0.0
1654,Spain,GERMANY,MUNICH,0,0,0,0,0,2202304,2210418,32064,0,0,0,0,2,2,0,0,0.0
97,Belgium,IRELAND,DUBLIN,0,0,0,0,0,127090,127391,2436,38.7%,0,10,1.3%,763,682,10,1.3%,0.0
1746,Spain,USA,"SAN FRANCISCO, CA",1,1,0,0,0,2324925,2333500,33814,3.3%,1,0,0,"2,109","2,104",0,0,0.0
1849,Switzerland,IRAN,TEHERAN,0,0,0,0,0,2462206,2471298,35774,21.1%,138,2047,15.4%,"13,33","11,283","2,047",15.4%,0.0
1325,Norway,SPAIN,MADRID,0,0,0,0,0,1763804,1770266,25803,0,15,2,100.0%,2,30,2,100.0%,0.0
895,Italy,AUSTRALIA,MELBOURNE,0,0,0,0,0,1190688,1194992,17621,4.7%,0,5,0.3%,"1,666","1,661",5,0.3%,0.0
1423,Poland,UKRAINE,KYIV,0,0,0,0,0,1894421,1901375,27668,71.2%,2,116,4.7%,"2,468","2,352",116,4.7%,0.0
773,Greece,RUSSIAN FEDERATION,MOSCOW,0,0,0,0,0,1028082,1031775,15300,89.9%,8,4202,1.2%,"350,542","346,34","4,202",1.2%,0.0
1011,Italy,SWEDEN,STOCKHOLM,0,0,0,0,0,1345296,1350183,19828,100.0%,1,1,3.7%,27,26,1,3.7%,0.0
7,Austria,BULGARIA,SOFIA,0,0,0,0,0,217,199,162,81.4%,13,5,2.3%,217,212,5,2.3%,0.0
928,Italy,COTE D'IVOIRE,ABIDJAN,0,0,0,0,0,1234671,1239141,18249,50.8%,9,1104,42.2%,"2,616","1,512","1,104",42.2%,0.0
1676,Spain,JORDAN,AMMAN,0,0,0,0,0,2231627,2239850,32482,10.5%,116,"1,009",13.1%,"7,68","6,171","1,009",13.1%,0.0
261,Denmark,LATVIA,RIGA,0,0,0,0,0,345674,346798,5557,14.3%,1,1,10.0%,10,8,1,10.0%,0.0
624,Germany,LITHUANIA,VILNIUS,0,0,0,0,0,829491,832436,12464,100.0%,0,0,0,30,30,0,0,0.0
40,Austria,RUSSIAN FEDERATION,MOSCOW,1,1,1,0,0,51119,51134,1352,75.2%,136,697,1.7%,"40,263","39,566",697,1.7%,0.0
739,Greece,EGYPT,CAIRO,0,0,0,0,0,982766,986288,14653,27.6%,106,1057,16.0%,"6,606","5,549","1,057",16.0%,0.0
478,France,MOZAMBIQUE,MAPUTO,6,6,0,0,0,634898,637111,9686,7.9%,0,167,13.8%,"1,214","1,025",167,13.8%,0.0
994,Italy,QATAR,DOHA,0,0,0,0,0,1322638,1327439,19505,73.4%,8,470,7.6%,"6,183","5,713",470,7.6%,0.0
1602,Spain,AUSTRALIA,CANBERRA,0,0,0,0,0,2132997,2140850,31074,1.7%,0,0,0,56,60,0,0,0.0
1719,Spain,SINGAPORE,SINGAPORE,0,0,0,0,0,2288938,2297378,33301,12.7%,0,55,2.0%,"2,779","2,704",55,2.0%,0.0
277,Denmark,SERBIA,BELGRADE,0,0,0,0,0,366999,368204,5862,71.4%,0,3,13.0%,23,21,3,13.0%,0.0
28,Austria,KENYA,NAIROBI,0,0,0,0,0,35125,35080,1123,13.4%,6,253,18.2%,"1,39","1,137",253,18.2%,0.0
975,Italy,MOROCCO,CASABLANCA,0,0,0,0,0,1297314,1302020,19143,80.0%,37,3908,22.7%,"17,232","13,324","3,908",22.7%,0.0
50,Austria,THAILAND,BANGKOK,0,0,0,0,0,64447,64512,1542,100.0%,0,313,1.5%,"21,487","21,174",313,1.5%,0.0
99,Belgium,ISRAEL,TEL AVIV,1,2,0,0,0,129756,130067,2474,48.8%,0,12,12.4%,98,88,12,12.2%,0.0
173,Czech Republic,GERMANY,BERLIN,0,0,0,0,0,228385,229068,3883,100.0%,9,0,0,11,11,0,0,0.0
1617,Spain,CAMEROON,YAONDE,3,3,0,0,0,2152990,2160917,31360,5.2%,11,848,49.1%,"1,731",861,848,49.0%,0.0
1004,Italy,SOUTH AFRICA,CAPE TOWN,0,0,0,0,0,1335966,1340818,19695,99.4%,0,528,4.0%,"13,235","12,707",528,4.0%,0.0
1197,Netherlands,IRAQ,BAGHDAD,0,0,0,0,0,1593202,1599022,23368,99.0%,69,117,14.3%,819,684,117,14.3%,0.0
1889,Switzerland,TUNISIA,TUNIS,0,0,0,0,0,2515519,2524812,36536,62.5%,30,744,21.5%,"3,454","2,71",744,21.5%,0.0
968,Italy,LITHUANIA,VILNIUS,0,0,0,0,0,1287984,1292655,19010,100.0%,0,0,0,1,1,0,0,0.0
818,Hungary,CHINA,BEIJING,0,0,0,0,0,1088060,1091978,16156,25.1%,0,727,4.3%,"16,93","16,203",727,4.3%,0.0
76,Belgium,CHINA,GUANGZHOU (CANTON),0,0,0,0,0,99101,99296,2037,22.6%,0,192,3.4%,"5,685","5,476",192,3.4%,0.0
1689,Spain,MOROCCO,CASABLANCA,2,2,0,0,0,2248953,2257242,32730,32.6%,66,"4,911",7.8%,"63,316","55,751","4,911",7.8%,0.0
1280,Norway,AFGHANISTAN,KABUL,0,0,0,0,0,1703827,1710063,24947,29.7%,17,1,1.8%,55,54,1,1.8%,0.0
1453,Portugal,CANADA,TORONTO,0,0,0,0,0,1934406,1941511,28239,49.1%,0,47,5.9%,803,756,47,5.9%,0.0
896,Italy,AUSTRALIA,PERTH,0,0,0,0,0,1192020,1196330,17640,29.1%,0,10,2.4%,415,405,10,2.4%,0.0
1515,Portugal,USA,"NEWARK, NJ",0,0,0,0,0,2017041,2024457,29419,71.2%,0,14,3.6%,385,371,14,3.6%,0.0
1457,Portugal,CHINA,GUANGZHOU (CANTON),0,0,0,0,0,1939737,1946862,28315,18.1%,0,7,4.2%,167,160,7,4.2%,0.0
1220,Netherlands,NETHERLANDS,WILLEMSTAD (CURACAO),27,21,19,2,7.4%,1623857,1629792,23805,39.3%,3,28,8.5%,358,319,30,8.4%,0.0
798,Greece,USA,"BOSTON, MA",0,0,0,0,0,1061403,1065221,15775,94.6%,5,0,0,653,653,0,0,0.0
395,France,CAMBODIA,PHNOM PENH,3,3,0,0,0,524273,526069,8107,17.2%,0,1020,13.2%,"7,727","6,613","1,02",13.2%,0.0
1455,Portugal,CAPE VERDE,CIDADE DA PRAIA,0,0,0,0,0,1937072,1944186,28277,37.6%,3,"6,394",33.5%,"19,061","12,667","6,394",33.5%,0.0
901,Italy,BANGLADESH,DHAKA,0,0,0,0,0,1198685,1203020,17735,71.6%,37,3124,45.0%,"6,935","3,811","3,124",45.0%,0.0
522,France,TURKEY,ISTANBUL,1,1,0,0,0,693542,695976,10524,35.1%,2,5143,5.1%,"101,412","94,815","5,143",5.1%,0.0
1001,Italy,SENEGAL,DAKAR,0,0,0,0,0,1331967,1336804,19638,54.9%,5,"2,267",39.4%,"5,757","3,49","2,267",39.4%,0.0
575,Germany,CHINA,SHENYANG,0,0,0,0,0,764182,766882,11532,100.0%,5,762,3.8%,"20,119","19,357",762,3.8%,0.0
1816,Switzerland,AUSTRIA,VIENNA,0,0,0,0,0,2418223,2427149,35146,87.5%,0,0,0,104,104,0,0,0.0
1217,Netherlands,NEPAL,KATHMANDU,13,6,6,7,53.8%,1619858,1625779,23748,71.4%,0,633,38.3%,"1,666",979,640,38.4%,0.0
561,Germany,BRAZIL,PORTO ALEGRE,0,0,0,0,0,745523,748152,11266,76.5%,0,1,5.6%,18,17,1,5.6%,0.0
1115,Luxembourg,POLAND,WARSAW,0,0,0,0,0,1483910,1489319,21807,53.8%,0,0,0,13,13,0,0,0.0
1773,Sweden,INDONESIA,JAKARTA,0,0,0,0,0,2360911,2369621,34328,52.4%,88,54,1.8%,"3,018","2,899",54,1.8%,0.0
890,Italy,ARGENTINA,BUENOS AIRES,2,2,0,0,0,1184023,1188303,17526,33.3%,1,1,1.0%,103,102,1,1.0%,0.0
703,Germany,UZBEKISTAN,TASHKENT,0,0,0,0,0,934784,938126,13968,31.1%,26,1269,12.3%,"10,302","9,033","1,269",12.3%,0.0
1181,Netherlands,ETHIOPIA,ADDIS ABEBA,4,0,0,3,75.0%,1571877,1577616,23063,92.8%,7,377,17.9%,"2,109","1,669",380,18.0%,0.0
1534,Slovakia,FRANCE,PARIS,0,0,0,0,0,2042365,2049876,29780,100.0%,0,0,0,2,2,0,0,0.0
77,Belgium,CHINA,SHANGHAI,2,1,0,1,50.0%,100434,100634,2056,31.6%,0,225,3.1%,"7,367","7,046",226,3.1%,0.0
1603,Spain,AUSTRALIA,MELBOURNE,0,0,0,0,0,2134330,2142188,31093,0.3%,1,9,1.1%,837,900,9,1.1%,0.0
1714,Spain,RUSSIAN FEDERATION,MOSCOW,2,2,0,0,0,2282274,2290688,33206,91.9%,108,"6,563",1.4%,"484,237","477,429","6,563",1.4%,0.0
1119,Luxembourg,SWITZERLAND,BERN,0,0,0,0,0,1489241,1494670,21884,0,0,0,0,6,6,0,0,0.0
1151,Netherlands,AFGHANISTAN,KABUL,0,0,0,0,0,1531892,1537481,22492,16.1%,51,0,0,218,212,0,0,0.0
720,Greece,AZERBAIJAN,BAKU,0,0,0,0,0,957443,960869,14291,24.4%,1,216,22.3%,970,754,216,22.3%,0.0
1553,Slovakia,SOUTH AFRICA,PRETORIA,0,0,0,0,0,2067689,2075295,30142,21.1%,0,4,1.2%,327,323,4,1.2%,0.0
350,Finland,RUSSIAN FEDERATION,MURMANSK,0,0,0,0,0,464296,465866,7251,99.2%,1,163,0.7%,"22,59","22,415",163,0.7%,0.0
1066,Latvia,UZBEKISTAN,TASHKENT,0,0,0,0,0,1418601,1423764,20875,29.9%,5,492,9.9%,"4,946","4,404",492,9.9%,0.0
386,France,BENIN,COTONOU,0,0,0,0,0,512278,514029,7936,23.7%,1,1401,12.5%,"11,229","9,695","1,401",12.5%,0.0
1893,Switzerland,UNITED KINGDOM,LONDON,0,0,0,0,0,2520850,2530163,36612,99.8%,124,163,1.9%,"8,503","8,34",163,1.9%,0.0
1212,Netherlands,MOROCCO,CASABLANCA,0,0,0,0,0,1613194,1619090,23653,0,0,1,100.0%,1,0,1,100.0%,0.0
284,Denmark,TURKEY,ANKARA,2,2,2,0,0,376329,377568,5995,60.9%,4,613,16.1%,"3,819","3,102",613,16.1%,0.0
682,Germany,TRINIDAD AND TOBAGO,PORT OF SPAIN,48,48,34,0,0,906795,910031,13568,91.9%,2,4,3.4%,165,161,4,2.4%,0.0
303,Estonia,RUSSIAN FEDERATION,MOSCOW,0,0,0,0,0,401653,402988,6356,90.8%,14,316,0.8%,"40,256","39,94",316,0.8%,0.0
1023,Italy,UKRAINE,KYIV,0,0,0,0,0,1361290,1366237,20057,40.3%,1,139,3.8%,"3,611","3,472",139,3.8%,0.0
1559,Slovakia,UKRAINE,KYIV,0,0,0,0,0,2075686,2083322,30256,67.1%,0,4,0.7%,573,569,4,0.7%,0.0
1891,Switzerland,UKRAINE,KYIV,0,0,0,0,0,2518185,2527487,36574,67.4%,0,28,7.9%,356,328,28,7.9%,0.0
941,Italy,GABON,LIBREVILLE,0,0,0,0,0,1251998,1256533,18496,29.1%,0,465,36.8%,"1,263",798,465,36.8%,0.0
707,Germany,ZAMBIA,LUSAKA,0,0,0,0,0,940116,943477,14044,12.3%,1,111,11.0%,"1,013",902,111,11.0%,0.0
1717,Spain,SENEGAL,DAKAR,8,3,0,5,62.5%,2286273,2294702,33263,8.4%,4,"3,658",43.8%,"8,365","4,246","3,663",43.8%,0.0
1208,Netherlands,LUXEMBOURG,LUXEMBOURG,0,0,0,0,0,1607863,1613738,23577,0,0,0,0,1,0,0,0,0.0
1500,Portugal,SOUTH KOREA,SEOUL,0,0,0,0,0,1997049,2004389,29133,33.1%,0,3,2.3%,130,127,3,2.3%,0.0
1237,Netherlands,RUSSIAN FEDERATION,YEKATERINBURG,0,0,0,0,0,1646515,1652536,24129,72.3%,0,42,2.4%,"1,767","1,719",42,2.4%,0.0
1299,Norway,GREECE,ATHENS,0,0,0,0,0,1729150,1735482,25309,50.0%,0,0,0,2,2,0,0,0.0
826,Hungary,GHANA,ACCRA,0,0,0,0,0,1098722,1102681,16308,31.4%,0,718,60.2%,"1,192",474,718,60.2%,0.0
1578,Slovenia,IRAN,TEHERAN,0,0,0,0,0,2101009,2108741,30618,46.7%,0,83,29.6%,280,197,83,29.6%,0.0
207,Czech Republic,SENEGAL,DAKAR,0,0,0,0,0,273701,274554,4530,9.1%,0,77,53.1%,145,66,77,53.1%,0.0
961,Italy,JORDAN,AMMAN,0,0,0,0,0,1278654,1283290,18877,95.3%,294,1353,18.6%,"7,271","5,918","1,353",18.6%,0.0
33,Austria,MOROCCO,RABAT,0,0,0,0,0,41789,41769,1219,24.1%,2,350,35.6%,984,634,350,35.6%,0.0
1452,Portugal,CANADA,OTTAWA,0,0,0,0,0,1933073,1940173,28220,68.8%,0,5,6.1%,82,77,5,6.1%,0.0
361,Finland,THAILAND,BANGKOK,0,0,0,0,0,478957,480583,7460,5.1%,23,453,4.5%,"10,078","9,61",453,4.5%,0.0
159,Czech Republic,BRAZIL,SAO PAULO,0,0,0,0,0,209726,210338,3616,10.5%,0,2,9.5%,21,19,2,9.5%,0.0
447,France,IRAN,TEHERAN,24,17,0,5,20.8%,593580,595637,9096,24.3%,96,19816,33.0%,"59,991","41,472","19,821",33.0%,0.0
1887,Switzerland,TANZANIA,DAR ES SALAAM,0,0,0,0,0,2512853,2522136,36498,30.2%,1,69,6.3%,"1,093","1,024",69,6.3%,0.0
251,Denmark,HUNGARY,BUDAPEST,0,0,0,0,0,332346,333420,5367,100.0%,1,0,0,4,3,0,0,0.0
1763,Sweden,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,0,0,0,0,0,2347583,2356243,34138,100.0%,6,0,0,54,7,0,0,0.0
1820,Switzerland,BRAZIL,SAO PAULO,0,0,0,0,0,2423554,2432500,35223,80.7%,2,13,9.7%,134,121,13,9.7%,0.0
1155,Netherlands,AUSTRALIA,SYDNEY,2,2,2,0,0,1537223,1542832,22569,97.5%,2,117,10.3%,"1,143",1,117,10.2%,0.0
1596,Spain,ANGOLA,LUANDA,0,0,0,0,0,2125000,2132823,30960,10.1%,0,"1,565",42.1%,"3,72","2,071","1,565",42.1%,0.0
1343,Poland,AUSTRIA,VIENNA,0,0,0,0,0,1787795,1794348,26146,0,0,0,0,1,1,0,0,0.0
1694,Spain,MOZAMBIQUE,MAPUTO,1,1,0,0,0,2255618,2263932,32825,7.2%,1,54,4.7%,"1,156","1,039",54,4.7%,0.0
592,Germany,GEORGIA,TBILISSI,0,0,0,0,0,786840,789625,11856,32.0%,5,113,34.9%,324,211,113,34.9%,0.0
1013,Italy,SWITZERLAND,LUGANO,0,0,0,0,0,1347961,1352858,19867,100.0%,0,0,0,3,3,0,0,0.0
455,France,JAPAN,TOKYO,0,0,0,0,0,604243,606340,9249,26.3%,2,107,3.9%,"2,753","2,594",107,3.9%,0.0
64,Belgium,ARGENTINA,BUENOS AIRES,0,0,0,0,0,83107,83242,1808,60.0%,0,0,0,12,10,0,0,0.0
1415,Poland,SYRIA,DAMASCUS,0,0,0,0,0,1883758,1890672,27516,25.5%,0,152,51.9%,293,141,152,51.9%,0.0
556,Germany,BELGIUM,BRUSSELS,0,0,0,0,0,738859,741463,11170,0,2,0,0,2,2,0,0,0.0
