Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for,ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued,Not issued rate for ATVs,Uniform visas applied for,"Total  uniform visas issued (including MEV) 
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas
Poland,UKRAINE,LVIV,,,,,,"1 897 086,69","1 904 050,91","27 706,31",87.2%,,694,6.4%,"10,909","10,215",694,6.4%
Poland,UKRAINE,ODESA,,,,,,"1 898 419,51","1 905 388,76","27 725,34",50.7%,,99,12.6%,783,684,99,12.6%
Poland,UKRAINE,VINNYTSYA,,,,,,"1 899 752,34","1 906 726,60","27 744,37",78.0%,,117,6.4%,"1,828","1,711",117,6.4%
Poland,UNITED ARAB EMIRATES,ABU DHABI,,,,,,"1 901 085,17","1 908 064,45","27 763,40",35.0%,17,379,21.5%,"1,762","1,383",379,21.5%
Poland,UNITED KINGDOM,LONDON,,,,,,"1 902 418,00","1 909 402,30","27 782,43",78.8%,19,26,1.1%,"2,352","2,305",26,1.1%
Poland,USA,"CHICAGO, IL",,,,,,"1 903 750,83","1 910 740,14","27 801,46",45.2%,,1,0.3%,326,325,1,0.3%
Poland,USA,"HOUSTON, TX",,,,,,"1 905 083,66","1 912 077,99","27 820,49",42.4%,,,,33,33,,
Poland,USA,"LOS ANGELES, CA",,,,,,"1 906 416,49","1 913 415,84","27 839,51",30.7%,,1,0.1%,800,799,1,0.1%
Poland,USA,"NEW YORK, NY",,,,,,"1 907 749,31","1 914 753,68","27 858,54",27.6%,9,29,4.1%,700,671,29,4.1%
Poland,USA,"WASHINGTON, DC",,,,,,"1 909 082,14","1 916 091,53","27 877,57",87.9%,,1,0.4%,224,223,1,0.4%
Poland,UZBEKISTAN,TASHKENT,,,,,,"1 910 414,97","1 917 429,37","27 896,60",30.0%,39,376,15.4%,"2,445","2,069",376,15.4%
Poland,VENEZUELA,CARACAS,,,,,,"1 911 747,80","1 918 767,22","27 915,63",89.1%,,2,3.5%,57,55,2,3.5%
Poland,VIETNAM,HANOI,,,,,,"1 913 080,63","1 920 105,07","27 934,66",26.6%,1,,,862,862,,
Portugal,ALGERIA,ALGIERS,,,,,,"1 914 413,46","1 921 442,91","27 953,69",28.8%,184,774,30.8%,"2,513","1,739",774,30.8%
Portugal,ANGOLA,BENGUELA,,,,,,"1 915 746,29","1 922 780,76","27 972,71",20.4%,,658,12.9%,"5,099","4,441",658,12.9%
Portugal,ANGOLA,LUANDA,,,,,,"1 917 079,11","1 924 118,60","27 991,74",58.6%,21,"17,518",19.5%,"89,727","72,209","17,518",19.5%
Portugal,ARGENTINA,BUENOS AIRES,,,,,,"1 918 411,94","1 925 456,45","28 010,77",16.7%,,2,10.0%,20,18,2,10.0%
Portugal,AUSTRALIA,CANBERRA,,,,,,"1 919 744,77","1 926 794,30","28 029,80",35.3%,,2,10.5%,19,17,2,10.5%
Portugal,AUSTRALIA,SYDNEY,,,,,,"1 921 077,60","1 928 132,14","28 048,83",76.5%,4,23,7.2%,321,298,23,7.2%
Portugal,AUSTRIA,VIENNA,,,,,,"1 922 410,43","1 929 469,99","28 067,86",100.0%,1,,,2,2,,
Portugal,BRAZIL,BELO HORIZONTE,,,,,,"1 923 743,26","1 930 807,84","28 086,89",9.1%,1,60,72.3%,83,23,60,72.3%
Portugal,BRAZIL,BRASILIA,,,,,,"1 925 076,09","1 932 145,68","28 105,91",40.8%,,41,24.7%,166,125,41,24.7%
Portugal,BRAZIL,RIO DE JANEIRO,2,2,,,,"1 926 408,91","1 933 483,53","28 124,94",43.3%,,95,41.5%,231,136,95,41.1%
Portugal,BRAZIL,SALVADOR DE BAHIA,4,3,,1,25.0%,"1 927 741,74","1 934 821,37","28 143,97",5.7%,,35,28.7%,126,90,36,28.6%
Portugal,BRAZIL,SAO PAULO,2,1,,1,50.0%,"1 929 074,57","1 936 159,22","28 163,00",33.3%,,149,52.5%,286,136,150,52.4%
Portugal,BULGARIA,SOFIA,1,1,,,,"1 930 407,40","1 937 497,07","28 182,03",62.1%,,28,7.9%,356,328,28,7.9%
Portugal,CANADA,MONTREAL,,,,,,"1 931 740,23","1 938 834,91","28 201,06",5.6%,2,2,1.2%,164,162,2,1.2%
Portugal,CANADA,OTTAWA,,,,,,"1 933 073,06","1 940 172,76","28 220,09",68.8%,,5,6.1%,82,77,5,6.1%
Portugal,CANADA,TORONTO,,,,,,"1 934 405,89","1 941 510,60","28 239,11",49.1%,,47,5.9%,803,756,47,5.9%
Portugal,CANADA,VANCOUVER,1,1,,,,"1 935 738,71","1 942 848,45","28 258,14",88.2%,,11,3.8%,292,281,11,3.8%
Portugal,CAPE VERDE,CIDADE DA PRAIA,,,,,,"1 937 071,54","1 944 186,30","28 277,17",37.6%,3,"6,394",33.5%,"19,061","12,667","6,394",33.5%
Portugal,CHINA,BEIJING,1,1,,,,"1 938 404,37","1 945 524,14","28 296,20",34.7%,5,668,5.3%,"12,694","12,026",668,5.3%
Portugal,CHINA,GUANGZHOU (CANTON),,,,,,"1 939 737,20","1 946 861,99","28 315,23",18.1%,,7,4.2%,167,160,7,4.2%
Portugal,CHINA,SHANGHAI,,,,,,"1 941 070,03","1 948 199,84","28 334,26",21.1%,17,646,4.3%,"14,871","14,225",646,4.3%
Portugal,COLOMBIA,BOGOTA,1,1,1,,,"1 942 402,86","1 949 537,68","28 353,29",61.9%,,8,27.6%,30,22,8,26.7%
Portugal,CROATIA,ZAGREB,,,,,,"1 943 735,69","1 950 875,53","28 372,31",50.0%,,,,4,4,,
Portugal,CUBA,HAVANA,,,,,,"1 945 068,51","1 952 213,37","28 391,34",13.3%,,65,10.3%,631,566,65,10.3%
Portugal,CYPRUS,NICOSIA,,,,,,"1 946 401,34","1 953 551,22","28 410,37",56.8%,1,43,34.4%,125,82,43,34.4%
Portugal,EGYPT,CAIRO,,,,,,"1 947 734,17","1 954 889,07","28 429,40",25.1%,14,326,13.0%,"2,5","2,174",326,13.0%
Portugal,FRANCE,MARSEILLE,,,,,,"1 949 067,00","1 956 226,91","28 448,43",100.0%,1,,,2,2,,
Portugal,FRANCE,PARIS,,,,,,"1 950 399,83","1 957 564,76","28 467,46",100.0%,,,,2,2,,
Portugal,GERMANY,BERLIN,,,,,,"1 951 732,66","1 958 902,60","28 486,49",25.0%,,2,33.3%,6,4,2,33.3%
Portugal,GERMANY,STUTTGART,,,,,,"1 953 065,49","1 960 240,45","28 505,51",,,1,50.0%,2,1,1,50.0%
Portugal,GREECE,ATHENS,,,,,,"1 954 398,31","1 961 578,30","28 524,54",,,,,3,3,,
Portugal,GUINEA-BISSAU,BISSAU,,,,,,"1 955 731,14","1 962 916,14","28 543,57",45.6%,5,"1,337",19.4%,"6,877","5,54","1,337",19.4%
Portugal,HUNGARY,BUDAPEST,,,,,,"1 957 063,97","1 964 253,99","28 562,60",16.7%,,1,14.3%,7,6,1,14.3%
Portugal,INDIA,GOA,,,,,,"1 958 396,80","1 965 591,84","28 581,63",2.5%,18,333,10.4%,"3,193","2,86",333,10.4%
Portugal,INDIA,NEW DELHI,,,,,,"1 959 729,63","1 966 929,68","28 600,66",34.5%,4,"1,466",18.5%,"7,94","6,474","1,466",18.5%
Portugal,INDONESIA,JAKARTA,,,,,,"1 961 062,46","1 968 267,53","28 619,69",73.6%,2,254,8.7%,"2,917","2,663",254,8.7%
Portugal,IRAN,TEHERAN,,,,,,"1 962 395,29","1 969 605,37","28 638,71",26.1%,42,617,28.3%,"2,178","1,561",617,28.3%
Portugal,IRELAND,DUBLIN,,,,,,"1 963 728,11","1 970 943,22","28 657,74",65.8%,1,14,2.1%,656,642,14,2.1%
Portugal,ISRAEL,TEL AVIV,,,,,,"1 965 060,94","1 972 281,07","28 676,77",27.8%,3,15,4.4%,342,327,15,4.4%
Portugal,ITALY,ROME,,,,,,"1 966 393,77","1 973 618,91","28 695,80",50.0%,,,,2,2,,
Portugal,JAPAN,TOKYO,,,,,,"1 967 726,60","1 974 956,76","28 714,83",,1,1,0.9%,115,114,1,0.9%
Portugal,MACAO S.A.R.,MACAO,,,,,,"1 969 059,43","1 976 294,60","28 733,86",11.3%,,16,2.9%,557,541,16,2.9%
Portugal,MEXICO,MEXICO CITY,,,,,,"1 970 392,26","1 977 632,45","28 752,89",100.0%,,3,6.3%,48,45,3,6.3%
Portugal,MOROCCO,RABAT,,,,,,"1 971 725,09","1 978 970,30","28 771,91",37.8%,465,762,23.4%,"3,251","2,489",762,23.4%
Portugal,MOZAMBIQUE,BEIRA,,,,,,"1 973 057,91","1 980 308,14","28 790,94",11.6%,37,66,3.5%,"1,861","1,795",66,3.5%
Portugal,MOZAMBIQUE,MAPUTO,,,,,,"1 974 390,74","1 981 645,99","28 809,97",40.8%,21,562,6.3%,"8,922","8,36",562,6.3%
Portugal,NETHERLANDS,THE HAGUE,,,,,,"1 975 723,57","1 982 983,84","28 829,00",,,,,1,1,,
Portugal,NIGERIA,ABUJA,,,,,,"1 977 056,40","1 984 321,68","28 848,03",4.6%,124,"4,492",75.6%,"5,939","1,447","4,492",75.6%
Portugal,PAKISTAN,ISLAMABAD,,,,,,"1 978 389,23","1 985 659,53","28 867,06",6.0%,162,429,22.6%,"1,898","1,469",429,22.6%
Portugal,PANAMA,PANAMA CITY,,,,,,"1 979 722,06","1 986 997,37","28 886,09",,,1,12.5%,8,7,1,12.5%
Portugal,PERU,LIMA,,,,,,"1 981 054,89","1 988 335,22","28 905,11",37.9%,,,,29,29,,
Portugal,POLAND,WARSAW,,,,,,"1 982 387,71","1 989 673,07","28 924,14",,1,,,2,2,,
Portugal,QATAR,DOHA,,,,,,"1 983 720,54","1 991 010,91","28 943,17",71.4%,7,94,13.1%,719,625,94,13.1%
Portugal,ROMANIA,BUCHAREST,,,,,,"1 985 053,37","1 992 348,76","28 962,20",12.5%,,5,13.5%,37,32,5,13.5%
Portugal,RUSSIAN FEDERATION,MOSCOW,,,,,,"1 986 386,20","1 993 686,60","28 981,23",69.9%,2,644,2.5%,"26,003","25,359",644,2.5%
Portugal,SAO TOME AND PRINCIPE,SAO TOME,,,,,,"1 987 719,03","1 995 024,45","29 000,26",9.0%,10,554,15.8%,"3,504","2,95",554,15.8%
Portugal,SAUDI ARABIA,RIYADH,,,,,,"1 989 051,86","1 996 362,30","29 019,29",84.3%,,639,9.8%,"6,509","5,87",639,9.8%
Portugal,SENEGAL,DAKAR,49,34,,15,30.6%,"1 990 384,69","1 997 700,14","29 038,31",33.9%,,"2,651",64.2%,"4,179","1,513","2,666",63.8%
Portugal,SERBIA,BELGRADE,,,,,,"1 991 717,51","1 999 037,99","29 057,34",44.4%,,1,10.0%,10,9,1,10.0%
Portugal,SOUTH AFRICA,CAPE TOWN,,,,,,"1 993 050,34","2 000 375,84","29 076,37",47.3%,7,56,1.5%,"3,645","3,589",56,1.5%
Portugal,SOUTH AFRICA,JOHANNESBURG,,,,,,"1 994 383,17","2 001 713,68","29 095,40",98.7%,2,253,3.8%,"6,676","6,423",253,3.8%
Portugal,SOUTH AFRICA,PRETORIA,,,,,,"1 995 716,00","2 003 051,53","29 114,43",20.0%,,1,9.1%,11,10,1,9.1%
Portugal,SOUTH KOREA,SEOUL,,,,,,"1 997 048,83","2 004 389,37","29 133,46",33.1%,,3,2.3%,130,127,3,2.3%
Portugal,SPAIN,BARCELONA,,,,,,"1 998 381,66","2 005 727,22","29 152,49",100.0%,,,,1,1,,
Portugal,SPAIN,SEVILLA,,,,,,"1 999 714,49","2 007 065,07","29 171,51",50.0%,,1,33.3%,3,2,1,33.3%
Portugal,SWITZERLAND,BERN,,,,,,"2 001 047,31","2 008 402,91","29 190,54",,,,,1,1,,
Portugal,THAILAND,BANGKOK,,,,,,"2 002 380,14","2 009 740,76","29 209,57",57.2%,77,51,3.0%,"1,709","1,658",51,3.0%
Portugal,TIMOR-LESTE,DILI,3,3,,,,"2 003 712,97","2 011 078,60","29 228,60",20.8%,,3,5.9%,54,51,3,5.6%
Portugal,TUNISIA,TUNIS,,,,,,"2 005 045,80","2 012 416,45","29 247,63",26.1%,4,167,11.5%,"1,447","1,28",167,11.5%
Portugal,TURKEY,ANKARA,,,,,,"2 006 378,63","2 013 754,30","29 266,66",58.3%,7,27,3.0%,897,870,27,3.0%
Portugal,UKRAINE,KYIV,,,,,,"2 007 711,46","2 015 092,14","29 285,69",55.3%,,138,22.2%,621,483,138,22.2%
Portugal,UNITED ARAB EMIRATES,ABU DHABI,,,,,,"2 009 044,29","2 016 429,99","29 304,71",51.5%,52,747,27.6%,"2,708","1,961",747,27.6%
Portugal,UNITED KINGDOM,LONDON,,,,,,"2 010 377,11","2 017 767,84","29 323,74",72.2%,10,29,0.6%,"4,793","4,764",29,0.6%
Portugal,UNITED KINGDOM,MANCHESTER,,,,,,"2 011 709,94","2 019 105,68","29 342,77",49.1%,6,38,2.0%,"1,855","1,817",38,2.0%
Portugal,USA,"BOSTON, MA",,,,,,"2 013 042,77","2 020 443,53","29 361,80",66.5%,,4,1.0%,389,385,4,1.0%
Portugal,USA,"NEW BEDFORD, MA",,,,,,"2 014 375,60","2 021 781,37","29 380,83",5.3%,,2,0.9%,211,209,2,0.9%
Portugal,USA,"NEW YORK, NY",,,,,,"2 015 708,43","2 023 119,22","29 399,86",34.2%,1,11,1.9%,574,563,11,1.9%
Portugal,USA,"NEWARK, NJ",,,,,,"2 017 041,26","2 024 457,07","29 418,89",71.2%,,14,3.6%,385,371,14,3.6%
Portugal,USA,"SAN FRANCISCO, CA",,,,,,"2 018 374,09","2 025 794,91","29 437,91",66.2%,1,21,2.1%,991,970,21,2.1%
Portugal,USA,"WASHINGTON, DC",,,,,,"2 019 706,91","2 027 132,76","29 456,94",34.7%,2,17,1.7%,988,971,17,1.7%
Portugal,VENEZUELA,CARACAS,,,,,,"2 021 039,74","2 028 470,60","29 475,97",40.0%,,2,16.7%,12,10,2,16.7%
Portugal,VENEZUELA,VALENCIA,,,,,,"2 022 372,57","2 029 808,45","29 495,00",,,12,80.0%,15,3,12,80.0%
Portugal,ZIMBABWE,HARARE,,,,,,"2 023 705,40","2 031 146,30","29 514,03",34.2%,,15,4.0%,372,357,15,4.0%
Slovakia,ARGENTINA,BUENOS AIRES,,,,,,"2 025 038,23","2 032 484,14","29 533,06",100.0%,,,,1,1,,
Slovakia,AUSTRALIA,CANBERRA,,,,,,"2 026 371,06","2 033 821,99","29 552,09",25.0%,,,,16,16,,
Slovakia,BELARUS,MINSK,,,,,,"2 027 703,89","2 035 159,84","29 571,11",47.4%,,5,0.1%,"3,961","3,956",5,0.1%
Slovakia,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,"2 029 036,71","2 036 497,68","29 590,14",100.0%,,4,1.9%,208,204,4,1.9%
Slovakia,BULGARIA,SOFIA,,,,,,"2 030 369,54","2 037 835,53","29 609,17",67.6%,,,,36,37,,
Slovakia,CANADA,OTTAWA,,,,,,"2 031 702,37","2 039 173,37","29 628,20",71.4%,,2,8.7%,23,21,2,8.7%
Slovakia,CHINA,BEIJING,,,,,,"2 033 035,20","2 040 511,22","29 647,23",9.2%,,90,5.6%,"1,598","1,508",90,5.6%
Slovakia,CHINA,SHANGHAI,,,,,,"2 034 368,03","2 041 849,07","29 666,26",9.3%,,15,3.9%,382,367,15,3.9%
Slovakia,CROATIA,ZAGREB,,,,,,"2 035 700,86","2 043 186,91","29 685,29",100.0%,,,,5,5,,
Slovakia,CUBA,HAVANA,,,,,,"2 037 033,69","2 044 524,76","29 704,31",,,1,0.9%,113,112,1,0.9%
Slovakia,CYPRUS,NICOSIA,,,,,,"2 038 366,51","2 045 862,60","29 723,34",95.1%,4,21,2.2%,973,952,21,2.2%
Slovakia,CZECH REPUBLIC,PRAGUE,,,,,,"2 039 699,34","2 047 200,45","29 742,37",,,,,1,1,,
Slovakia,EGYPT,CAIRO,,,,,,"2 041 032,17","2 048 538,30","29 761,40",47.3%,,29,7.3%,399,370,29,7.3%
Slovakia,FRANCE,PARIS,,,,,,"2 042 365,00","2 049 876,14","29 780,43",100.0%,,,,2,2,,
Slovakia,INDIA,NEW DELHI,2,,,2,100.0%,"2 043 697,83","2 051 213,99","29 799,46",33.2%,235,42,5.2%,806,762,44,5.5%
Slovakia,INDONESIA,JAKARTA,,,,,,"2 045 030,66","2 052 551,84","29 818,49",37.7%,1,1,0.3%,286,285,1,0.3%
Slovakia,IRAN,TEHERAN,,,,,,"2 046 363,49","2 053 889,68","29 837,51",7.1%,6,580,41.8%,"1,386",806,580,41.8%
Slovakia,IRELAND,DUBLIN,,,,,,"2 047 696,31","2 055 227,53","29 856,54",20.5%,1,,,40,40,,
Slovakia,ISRAEL,TEL AVIV,,,,,,"2 049 029,14","2 056 565,37","29 875,57",91.0%,3,1,0.9%,115,114,1,0.9%
Slovakia,JAPAN,TOKYO,,,,,,"2 050 361,97","2 057 903,22","29 894,60",23.1%,,,,13,13,,
Slovakia,KAZAKHSTAN,ASTANA,,,,,,"2 051 694,80","2 059 241,07","29 913,63",35.9%,,8,1.5%,551,543,8,1.5%
Slovakia,KENYA,NAIROBI,,,,,,"2 053 027,63","2 060 578,91","29 932,66",18.3%,2,21,15.9%,132,111,21,15.9%
Slovakia,KOSOVO,PRISTINA,,,,,,"2 054 360,46","2 061 916,76","29 951,69",100.0%,138,37,20.2%,183,146,37,20.2%
Slovakia,KUWAIT,KUWAIT,,,,,,"2 055 693,29","2 063 254,60","29 970,71",99.6%,,13,1.6%,818,805,13,1.6%
Slovakia,LEBANON,BEIRUT,,,,,,"2 057 026,11","2 064 592,45","29 989,74",82.8%,24,2,0.7%,300,298,2,0.7%
Slovakia,MEXICO,MEXICO CITY,,,,,,"2 058 358,94","2 065 930,30","30 008,77",25.0%,,,,4,4,,
Slovakia,NORTH MACEDONIA,SKOPJE,,,,,,"2 059 691,77","2 067 268,14","30 027,80",100.0%,,,,4,4,,
Slovakia,POLAND,WARSAW,,,,,,"2 061 024,60","2 068 605,99","30 046,83",100.0%,,,,1,1,,
Slovakia,ROMANIA,BUCHAREST,,,,,,"2 062 357,43","2 069 943,84","30 065,86",81.0%,1,,,64,64,,
Slovakia,RUSSIAN FEDERATION,MOSCOW,8,,,8,100.0%,"2 063 690,26","2 071 281,68","30 084,89",91.3%,5,30,0.4%,"7,339","7,301",38,0.5%
Slovakia,RUSSIAN FEDERATION,ST. PETERSBURG,,,,,,"2 065 023,09","2 072 619,53","30 103,91",94.4%,1,27,1.2%,"2,182","2,155",27,1.2%
Slovakia,SERBIA,BELGRADE,,,,,,"2 066 355,91","2 073 957,37","30 122,94",76.1%,,13,22.0%,59,46,13,22.0%
Slovakia,SOUTH AFRICA,PRETORIA,,,,,,"2 067 688,74","2 075 295,22","30 141,97",21.1%,,4,1.2%,327,323,4,1.2%
Slovakia,SOUTH KOREA,SEOUL,,,,,,"2 069 021,57","2 076 633,07","30 161,00",20.0%,,1,4.8%,21,20,1,4.8%
Slovakia,TAIWAN,TAIPEI,,,,,,"2 070 354,40","2 077 970,91","30 180,03",40.0%,,,,5,5,,
Slovakia,THAILAND,BANGKOK,,,,,,"2 071 687,23","2 079 308,76","30 199,06",16.7%,1,,,240,240,,
Slovakia,TURKEY,ANKARA,,,,,,"2 073 020,06","2 080 646,60","30 218,09",64.4%,,31,9.3%,334,303,31,9.3%
Slovakia,TURKEY,ISTANBUL,,,,,,"2 074 352,89","2 081 984,45","30 237,11",59.7%,,54,4.8%,"1,114","1,06",54,4.8%
Slovakia,UKRAINE,KYIV,,,,,,"2 075 685,71","2 083 322,30","30 256,14",67.1%,,4,0.7%,573,569,4,0.7%
Slovakia,UKRAINE,UZHHOROD,,,,,,"2 077 018,54","2 084 660,14","30 275,17",92.8%,,24,2.1%,"1,145","1,121",24,2.1%
Slovakia,UNITED KINGDOM,LONDON,,,,,,"2 078 351,37","2 085 997,99","30 294,20",68.0%,5,15,3.9%,382,367,15,3.9%
Slovakia,USA,"NEW YORK, NY",,,,,,"2 079 684,20","2 087 335,84","30 313,23",64.3%,,,,42,42,,
Slovakia,USA,"WASHINGTON, DC",,,,,,"2 081 017,03","2 088 673,68","30 332,26",84.3%,,,,51,51,,
Slovakia,UZBEKISTAN,TASHKENT,,,,,,"2 082 349,86","2 090 011,53","30 351,29",13.3%,20,25,8.1%,309,284,25,8.1%
Slovakia,VIETNAM,HANOI,,,,,,"2 083 682,69","2 091 349,37","30 370,31",9.1%,3,18,6.8%,263,245,18,6.8%
Slovenia,ALBANIA,TIRANA,,,,,,"2 085 015,51","2 092 687,22","30 389,34",90.9%,15,1,3.7%,27,26,1,3.7%
Slovenia,ARGENTINA,BUENOS AIRES,,,,,,"2 086 348,34","2 094 025,07","30 408,37",,,3,100.0%,3,,3,100.0%
Slovenia,AUSTRALIA,CANBERRA,,,,,,"2 087 681,17","2 095 362,91","30 427,40",88.2%,,,,34,34,,
Slovenia,BOSNIA AND HERZEGOVINA,BANJA LUKA,,,,,,"2 089 014,00","2 096 700,76","30 446,43",100.0%,1,1,12.5%,8,7,1,12.5%
Slovenia,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,"2 090 346,83","2 098 038,60","30 465,46",100.0%,2,8,14.3%,56,48,8,14.3%
Slovenia,BULGARIA,SOFIA,,,,,,"2 091 679,66","2 099 376,45","30 484,49",100.0%,,,,6,6,,
Slovenia,CANADA,OTTAWA,,,,,,"2 093 012,49","2 100 714,30","30 503,51",100.0%,5,2,10.0%,20,18,2,10.0%
Slovenia,CHINA,BEIJING,,,,,,"2 094 345,31","2 102 052,14","30 522,54",69.8%,3,244,6.3%,"3,879","3,635",244,6.3%
Slovenia,CROATIA,ZAGREB,,,,,,"2 095 678,14","2 103 389,99","30 541,57",95.9%,63,5,1.5%,336,331,5,1.5%
Slovenia,EGYPT,CAIRO,,,,,,"2 097 010,97","2 104 727,84","30 560,60",100.0%,3,126,23.3%,540,414,126,23.3%
Slovenia,FRANCE,PARIS,,,,,,"2 098 343,80","2 106 065,68","30 579,63",,4,,,4,4,,
Slovenia,INDIA,NEW DELHI,,,,,,"2 099 676,63","2 107 403,53","30 598,66",97.1%,15,498,18.9%,"2,63","2,132",498,18.9%
Slovenia,IRAN,TEHERAN,,,,,,"2 101 009,46","2 108 741,37","30 617,69",46.7%,,83,29.6%,280,197,83,29.6%
Slovenia,ISRAEL,TEL AVIV,,,,,,"2 102 342,29","2 110 079,22","30 636,71",98.6%,32,2,1.9%,108,106,2,1.9%
Slovenia,JAPAN,TOKYO,,,,,,"2 103 675,11","2 111 417,07","30 655,74",56.1%,,2,4.7%,43,41,2,4.7%
Slovenia,KOSOVO,PRISTINA,,,,,,"2 105 007,94","2 112 754,91","30 674,77",86.0%,"3,371","1,271",27.1%,"4,692","3,421","1,271",27.1%
Slovenia,MONTENEGRO,PODGORICA,,,,,,"2 106 340,77","2 114 092,76","30 693,80",98.8%,30,10,1.7%,604,594,10,1.7%
Slovenia,NORTH MACEDONIA,SKOPJE,,,,,,"2 107 673,60","2 115 430,60","30 712,83",100.0%,2,1,3.1%,32,31,1,3.1%
Slovenia,RUSSIAN FEDERATION,MOSCOW,,,,,,"2 109 006,43","2 116 768,45","30 731,86",96.7%,5,152,1.4%,"10,696","10,544",152,1.4%
Slovenia,SERBIA,BELGRADE,,,,,,"2 110 339,26","2 118 106,30","30 750,89",93.2%,30,24,3.7%,656,632,24,3.7%
Slovenia,TURKEY,ANKARA,,,,,,"2 111 672,09","2 119 444,14","30 769,91",93.4%,,189,17.3%,"1,095",906,189,17.3%
Slovenia,UKRAINE,KYIV,,,,,,"2 113 004,91","2 120 781,99","30 788,94",97.9%,3,8,3.2%,251,243,8,3.2%
Slovenia,UNITED KINGDOM,LONDON,,,,,,"2 114 337,74","2 122 119,84","30 807,97",93.5%,13,1,0.4%,244,243,1,0.4%
Slovenia,USA,"CLEVELAND, OH",,,,,,"2 115 670,57","2 123 457,68","30 827,00",96.4%,,,,55,55,,
Slovenia,USA,"WASHINGTON, DC",,,,,,"2 117 003,40","2 124 795,53","30 846,03",100.0%,3,1,1.0%,104,103,1,1.0%
Spain,AFGHANISTAN,KABUL,1,1,,,,"2 118 336,23","2 126 133,37","30 865,06",75.0%,50,4,6.7%,61,55,4,6.6%
Spain,ALBANIA,TIRANA,1,1,,,,"2 119 669,06","2 127 471,22","30 884,09",13.3%,7,9,8.7%,104,91,9,8.7%
Spain,ALGERIA,ALGIERS,,,,,,"2 121 001,89","2 128 809,07","30 903,11",41.6%,244,"16,739",28.1%,"59,479","40,683","16,739",28.1%
Spain,ALGERIA,ORAN,,,,,,"2 122 334,71","2 130 146,91","30 922,14",48.2%,126,"13,831",31.2%,"44,327","27,756","13,831",31.2%
Spain,ANDORRA,ANDORRA LA VELLA,,,,,,"2 123 667,54","2 131 484,76","30 941,17",81.6%,,,,138,136,,
Spain,ANGOLA,LUANDA,,,,,,"2 125 000,37","2 132 822,60","30 960,20",10.1%,,"1,565",42.1%,"3,72","2,071","1,565",42.1%
Spain,ARGENTINA,BAHIA BLANCA,,,,,,"2 126 333,20","2 134 160,45","30 979,23",,,,,9,9,,
Spain,ARGENTINA,BUENOS AIRES,1,1,,,,"2 127 666,03","2 135 498,30","30 998,26",4.1%,,46,8.5%,541,466,46,8.5%
Spain,ARGENTINA,CORDOBA,,,,,,"2 128 998,86","2 136 836,14","31 017,29",,,,,35,35,,
Spain,ARGENTINA,MENDOZA,,,,,,"2 130 331,69","2 138 173,99","31 036,31",,,,,13,10,,
Spain,ARGENTINA,ROSARIO (Santa Fé),,,,,,"2 131 664,51","2 139 511,84","31 055,34",,,,,18,18,,
Spain,AUSTRALIA,CANBERRA,,,,,,"2 132 997,34","2 140 849,68","31 074,37",1.7%,,,,56,60,,
Spain,AUSTRALIA,MELBOURNE,,,,,,"2 134 330,17","2 142 187,53","31 093,40",0.3%,1,9,1.1%,837,900,9,1.1%
Spain,AUSTRALIA,SYDNEY,,,,,,"2 135 663,00","2 143 525,37","31 112,43",,,,,493,491,,
Spain,AUSTRIA,VIENNA,,,,,,"2 136 995,83","2 144 863,22","31 131,46",,,,,2,1,,
Spain,BANGLADESH,DHAKA,5,1,,4,80.0%,"2 138 328,66","2 146 201,07","31 150,49",8.7%,5,737,33.2%,"2,222","1,369",741,33.3%
Spain,BELGIUM,BRUSSELS,,,,,,"2 139 661,49","2 147 538,91","31 169,51",,1,,,17,17,,
Spain,BOLIVIA,LA PAZ,,,,,,"2 140 994,31","2 148 876,76","31 188,54",7.5%,,"2,395",21.5%,"11,145","8,384","2,395",21.5%
Spain,BOLIVIA,SANTA CRUZ DE LA SIERRA,6,6,,,,"2 142 327,14","2 150 214,60","31 207,57",5.3%,,"2,229",27.7%,"8,039","5,249","2,229",27.7%
Spain,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,"2 143 659,97","2 151 552,45","31 226,60",12.5%,,,,24,24,,
Spain,BRAZIL,BRASILIA,2,2,,,,"2 144 992,80","2 152 890,30","31 245,63",4.8%,,,,50,44,,
Spain,BRAZIL,PORTO ALEGRE,3,3,,,,"2 146 325,63","2 154 228,14","31 264,66",6.3%,,2,10.5%,22,19,2,9.1%
Spain,BRAZIL,RIO DE JANEIRO,,,,,,"2 147 658,46","2 155 565,99","31 283,69",29.5%,,4,4.5%,89,78,4,4.5%
Spain,BRAZIL,SALVADOR DE BAHIA,4,4,,,,"2 148 991,29","2 156 903,84","31 302,71",61.1%,,4,16.0%,29,22,4,13.8%
